text,sentiment
"@leomall2018 Según yo era como aviso, pero ahora sí ya es oficial",NEU
"@benshorts a juzgar por mis comportamientos autodestructivos en las relaciones, aún quiero serlo",N
#BuenosDias mundo Twittero ya desperté y estoy listo para vivir un dia mas #ExcelenteMartes,P
No pude resolver el rompecabezas en Los rios de Alicia y ahora muero de tristeza,N
o sea ... me urge un Dr. @Rocktor101 (escuchó un programa de males digestivos y así),N
"@natyamezcua hay pues hay que ver que hacemos para vernos, te extraño, no quiero que te alejes",NEU
@Eudemonologia87 yo igual y ni así. Este año seré tipo marasalvatrucha para ver si así me traen algo.,N
"@shakira no te puedo llevar en mi bicicleta. Me caí y está descompuesta. Happy to walk with you, tho.",N
"@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!",P
Mi novio me vigila en Twitter y ahora todo lo que diga puede ser (y será) usado en mi contra ¡Ayuda!,N
@Pagano656 #NoaNoaStyle es uno de los mejores luchadores que ha llegado a @luchalibreaaa Yo tengo el gusto de seguirlo hace 4 años,P
"@Tribuna_I Si, pero yo lo veo otros 6 meses más en Pachuca, tiene calidad el Muchacho Y ayer demostró que si está listo",P
4:18 AM. Que gran dilema. ¿Despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? Pd. Venga saliendo del trabajo,NEU
"—¿Y la novia mijo? —El concepto de pareja es arcaico y reduccionista, pienso que la mujer debe tener libertad para pod —Nadie te pela —No",N
"Ya estoy en mi casa maigues, no morí. Bien pinche adolorida pero ya en mi casita. Pd. Me quieren llevar al rancho pero yo no quiero",N
@TrusaRota ha si ya vi si se ve buena!!! La pondré a ver si no me duermo dura un buen jaja pero se ve buena!! Mil gracias,P
"Desde que tengo uso de razón todos mis fin de año han sido en casa de mi abuelita, este año será distinto y triste, te extraño tanto abu",N
"Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo ""oh, mexican 10""",N
Estoy muy celoso. Pinche Carlos.,N
Extraño los videos de los GMR,N
Lo bueno que nadamas es esta semana,NEU
Puta madre lo que me faltaba enfermarme #QuieroLlorar,N
"Pobresita jajajaja, no no tendras su amistad de nuevo",N
Pagaré una maleta extra para todos nuestros nuevos momentos juntos,P
Que difícil es tomar una decisión cuando no es para ti,N
"Probablemente un compañero renuncie en los próximos días, la perrada se desintegra",N
"Me atropellaron, y me duele mucho mi pierna Estoy bien pinche salado VV",N
"@HugoLpzC jajaja tonto! Ya se, ya la próxima semana el viernes, lo más seguro!",NEU
Lo malo de ser flaco es que no puedo ir todos los días al gym.,N
"Si sabían que Broca y Wernicke son mejores amigos, cuando Wernicke se confunde, Broca se traba,",NEU
"Si quieren que aprenda algo de eso dejen esa materia sola un semestre completo, si no como",NEU
Ya me estoy saboreando la hamburguesa que me pienso comer el jueves JAJAJAJA ya se k gorda Bye,P
"Ya estoy muy abrigada sentada en la sala, para salirme de la casa y nada que pasan por mi",N
"De todas sus mentiras ""No creo que @EPN llegue a la presidencia"" era mi favorita, la mas vil y cruel",N
@MartinCaligaris Es mí Martina Jajaja Regresaste a los saltos mortales!!! Eso es bueno Te quiero mucho! Beso de regreso muack muack,P
@DanielaLeija ya me dijo mi esposo es una mercería en el 13 y 14 Hidalgo ves hay cosas bien bonitas para pintar,P
"Días!!! Si confías en tu mente, tendrás que tomar decisiones toda tu vida. Si confías en tu corazón, será tu última decisión.. Besitos",NEU
"Estoy en el ""Taco loco""venden más sopas,carnes, bebidas que tacos solo hay de bistec, pastor y chorizo. ¿Que clase de taco loco es esto?",N
"@J_Pietra Me gustaria conoserte Y estar 1 dia contigo y con todo el plantel de chivas,me gustas como narra pero como nunca me aras caso",P
Uju!!! A estas tempranas horas de la noche ya sólo me falta leer como 70 mensajes de whats que chido que me gusta Leer verdad!! (n.n)!,P
Buenos días pipol ️ Voy de camino al doctor que me cuesta respirar :c sí muero en el camino recuerdenme  ya no aguanto la gripa &gt;,N
"—Un café por favor. —El café, ¿lo va a querer solo? —No, sí quieres siéntate aquí a mi lado y me cuentas toda tu puta vida. — Ay",N
Al rato a preparar la cena de fin de año con mis hijos Al rato a Misa a darle gracias a Dios por un 2016 lleno de ilusiones y sueños,P
@walkiriaflor Pues no estaba bromenado,N
"Es que estos dolores, son bárbaros...",N
La de las indirectas soy yo. Perdón.,N
Lo que me faltaba... mi sandia está mala,N
Me acabo de tragar un pastel en mood celina,N
"Uno no decide de quién se enamora, solo pasa chingaos",N
"@angies_ay ¡Mucha suerte, bonita! Ojalá logres conseguirlos. Saludos a tu bebé",P
"Yastas! Aunque me anda fallando pero es buena idea, tu dirás! @RulitoHD",P
#TeníamosTodoPero EPN iba a ser el mejor presidente... Pero se chingo la rodilla...,N
"@lesliepenha estás loca, tú debes estar pendiente por si me dejan a última hora",N
"@jis_cuva uy si sobretodo nos dieron puras en la sierra están horribles, si al Chávez",N
@Abby_Maff Jajajajajaja no es cierto no se que seria de mi vida sin esas cosas (mensajes),P
"Una vez mas... Mi pensamiento invade mi sueño... Se te extraña, ya quiero ser normal otra vez!!!",N
"@Sara_G2 jajajaja es súper buen pedo, te va a caer bien. Yo tampoco sé con quién me toca",P
"Amigos, neta muy neta, hay una probabilidad de irme pa la CDMX, alcen las manos y pídanle a Diosito",P
Porque no soy una persona normal que le guste platicar con personas por whatsaap me conflictua esooo xq xq xq,N
"@esgarrTAM ¡Gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos",P
"@priincesapurple si por favor aún no he podido comprarlo, o mejor me das un abrazo y así eso también ayuda ️ je.",P
"Nunca van a encontrar a una amiga como yo,que guarde hasta el mínimo papelito de la secundaria que decía: Hola!Eres súper! Nunca cambies",P
"A esta hora Twitter esta lleno de gente sentimental, que no puede dormir y que se siente de la mierda que pasa aqui diablos",N
"Hoy es cumpleaños el maestro Bowie, un capricornio en todo sentido, que en paz descanse. Hay nuevo EP y sonó su legado hoy en carretera",P
Mi amigo me va a odiar por dejarlo plantado Porque le dije que íbamos a ir a una peda y pues ya no me dieron chance,N
"Llegue a casa, había una caja q me mandó la ex y dentro estaba mi amada PS3 (Los niños sonríen) Pero no trae control (Los niños lloran)",N
"Me duele saber que en mis relaciones soy super fiel y pendeja y al final resulto ser la mala o por pena ""No te quería hacer daño"" chsm",N
"Igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿Soy el único que le preocupa que se lastimó, se ve que se cortó!",N
@SaulSeguraB Pionera en nuestra colonia,P
@jarhatpacheco Gracias e igual hermoso día,P
@alevr9 lo importante es que tenemos salud,P
@Kev_Rogers mándale fueguito a @abeftlouis está muy enferma,N
Últimos momentos en medicina familiar y de guardia C,NEU
"Pues así, viendo a Luis Videgaray.... No estoy tan pelón",P
"@caballeroyfeo Abrimos el programa con esa, peeero ahorita ponemos un cover",NEU
@RKARTISTA justo cuando tengo mega estrés par estar estudian y haciendo tarea,N
"Despidiendo a Pau en el aeropuerto. Ya se va a Monterrey, Nuevo León.",NEU
"@pakechii nop era como payaso de rodeo? Esa si me la sé, bueno no",NEU
A Certain Romance tiene una de mis frases favoritas!!!! Gracias @rominapons por esa #Rolota #ViernesConRomina,P
@1maaariii1 ¿Te imaginas que ya saquearon todos los centros comerciales? y en donde vivo ay balazos..,N
Ya no logré mi propósito de ser más puntual. Voy a tener que esperar hasta el 2018.,N
"Hoy hace 4 años, grabamos mi primer sencillo. #UltimoAire Gracias a todos los que han estado conmigo siempre",P
@Natsflorees le di sus respectivos buenos días desde las 7am y ya estaba así jajaj no soy yo jajajaj,NEU
"5 días seguidos y no me sale ninguna idea buena en el estudio, adiós producción musical, hola batería de nuevo",N
Así ando amigas Ni una noche y extraño a mi familia Me siento sola Mi amiga con su novio Necesito abrazos,N
"@MiBiciPublica Hola! la estación GDL - 111 tiene 2 puertos que no sirven, y los demás siempre están llenos a esta hora.",N
De verdad yo no creo estar tan delgada como dicen que estoy y menos despues de todo lo que he tragado este mes,N
"Nuevamente fin de semana, cada vez más rápido, ya casi termina el año.!!! Espero que dios le haya dado la mejor de las semana!!!",P
"#SiQueríacontigoPero te mama YURI , LA TREVI , ANAHI , LAS JEANS!! ... Te enchilas si se meten con BRITNEY. No pues mejor así, COMO!!?",N
"Papá: vamos al beis Hijos: SIIII Mamá: no, vamos al cine Papá: al cabo que ni ganas de ir al beis tenia, que función quieres? Hijos:",NEU
@juanchogerk9 lo peor es que mucha gente vive de vender juguetes y por esto este año les irá mal (día de reyes) todo el centro esta solo,N
"@Juan_Mpc No me gusta mucho el agua, así que aire o tierra. No, mejor tierra porque si es aire de seguro es un pájaro y no me gustan.",N
"Que feo es encontrarte a tu súper crush de toda la vida, te sonrie y ni tiempo de agarrarte él corazón te da por que vienes con tu novio",N
Hoy ando muy de buenas,P
Todos son de 2do cuatri jajaja,NEU
"@Abby_Maff pues si amiga, es muy feo",N
#felizdiadereyes cuál feliz si no me trajeron nada,N
@Aliciamares98 Lo mismo me pregunto ya tiene que empezarrrr,N
"Bruno amaneció mal, muy mal, ya estamos evaluando aplicarle eutanasia.",N
"@IvancitoMavelk no estaba de caliente, iba a componer algo con alguien",NEU
Recibir una sorpresa inesperada y pasar una noche increible no tiene precio,P
"@Juan_S_Alba No,No,No! No sabe de Fútbol El mejor equipo es el Barcelona JAJAJAJAJAJAJA",NEU
"@PauAj97 Todo cool, a lo mejor estudio en UV, a ver si mañana pasó",P
"@JcAgmty es posible que baje la gasolina, los impuestos, el dolar y la canasta?plis jajaja",N
No soy una eerta en la cocina pero lo poco que sé siempre me ah funcionado.,P
Lo bueno: Ya voy de regreso y nos podremos ver. Lo malo: No me contesta los mensajes.,NEU
"Amo mi carrera,pero aun no es fácil aguantar las decepciones que tengo que pasar antes de un ""si""",NEU
"Neta es súper estresante no traer datos, no puedo ver el vídeo y no puedo tuitearte locamente @ElJuanpaZurita #LocurasEnColombiaJZ",N
Me estaba comiendo unos pastes bien ricos pero de pronto pusieron canciones bien deprimentes y pues así no se puede,N
@MarlenTrevino aaaa jaja tons si a de estar buena. La de 24hrs. está pasada de lanza. Saludos Marlen y feliz año,P
¿Ya ven porque les dije que no hagan un examen del que no están seguros de hacer? No aprobé mi ceneval chales.,N
Van dos días que sueño con el vato no es justo porque de ante mano sé que no va a pasar NI MADRES.,N
"Hay un niñ junto a mí jugando a preguntarse ""¿eres o te haces?"". Saben que la respuesta correcta es ""soy"". Nada mal, nada mal.",P
A todos los artistas de tumblr les llegan preguntas o cumplidos sobre su arte y a mi me preguntan si soy lesbiana ... fucking great.,N
"@lili_blend ahora te entiendo, roji! Hoy que salí sola me di cuenta que no dejé de morderme los labios todo el tiempo de nervios y miedo",N
"@cmercadoo si, pero tu le vas al Atlas, al Ame y a no se cuantos mas... sorry por los acentos, este teclado del ipad me tiene loca",N
"@gvlo2008 de hecho le di a ""Alejandra Zavala"", me fui con la finta de ""Alejandra"" y no leí el apellido, pensé que era la de Tiro con Arco",N
Me dijo : ¿ Y no crees que te esta cayendo mal esa terapia ? Yo no veo cambios y antes no te ponías asi!? Lo hacias y ya! Jajajaja,N
@balucorp ni has estado feo,P
@nicocmadrid ¡Estamos de acuerdo contigo Nico!,P
@DianaLeealM es de Dianas jaja gracias bella,P
Los Reyes magos me trajeron una cruda que,N
#SiempreTePediré Un abrazo y un beso de buenas Noches,P
@GabrielaFlorsc_ una maldita tos que no me deja ni dormir,N
"Un señor toca bien bonito, pero apenas traigo para mi pasaje",P
Mi vecino poniendo musica triste y eso hace que extrañe muchaa cosas,N
De que sirve que me los trage si tengo panza de embarazada. #horasad,N
"@ATTMxAyuda hola buenos días ya envié por DM la información que me pidieron, gracias",NEU
No se si dejar mi horario intacto u ocupar esos 4 créditos que me faltaron,NEU
"#JamasMePreguntes porq soy linda contigo, Si pregunto como estas es educación, no porq realmente me interese",N
@toxickore según la Wikipedia un licor es destilado. Un vino de malta ahí si te la creo,NEU
"Llegar y encontrar la mención de Jesse y la foto, es tan hermosoooooo!!!! LA AMO!!!!! En verdad grite!!!",P
@Rocktor101 consulta virtual o algo en fin Dr. como siempre un gusto saludarle y ya esperándole ... en serio,P
"Y pues... mis reyes ahora se distribuyen a lo largo del año Mis iPhones, mi Apple Watch, mis Beats... ️️",NEU
Es re triste esto de compartir gusto con alguien que fue importante para bc todo me lo recuerda a esa persona,N
"Ni cigarros, ni galletas, ni caldo de camarón, ni michelada, ni papas a la francesa ... Qué clase de vida es esta??!!!",N
Según uno de mis propósitos es leer más pero ya estamos a 8 de Enero y no he comprado ni un libro nuevo,N
"Al despedirnos dijo: Have a nice day, y yo le conteste igual, y le dije ay que pendeja, jajaja ay gud bai mai lob.",P
"Y Maldita sea, me convertí en quien menos queria ser. En la peor versión de mi, cuestión de cambio para un 2017 lleno de positivismo...",N
"@Kresnik02 it's never too late, nunca lo tuve en 64, era muy pobre y la verdad ahorita no lo he buscado así que lo comprare digital",P
"Mi vida es un eterno dilema entre ""mejor me duermo y mañana termino"" e ""'ingue su, me vo'a desvelar hasta morir y lo acabo de una vez"".",N
Mi tío me contó que iba en el metro bus y que un cabron dijo por teléfono que se hubiera agarrado la Pantalla en lugar de la licuadora,N
-Si yo con 4 meses dejada me acuerdo hasta del día en que me agrego a face osea yo mega traumada time. Y ella 23 años como si nada.,N
@maferalatriste creo q el único,NEU
Ush solo viene a emocionarnos @villalobossebas,NEU
Me llenas de notificaciones @Sergecast Jajaja #LasChichisDeFichis,P
@aleteknicolor no te ereses tan feo de @alain_rincon,NEU
@DarioZapata_14 jajajajaja neta que si es justo y necesario,P
Esto de mudarme me agota y me da hueva recoger,N
@QueenChingona @HelemVM lo iba a pedir y solo tienen tallas chica,N
"@KatiaCastorena Que tengas Excelente cobertura y excelente viaje, saludos también al Chicharito",P
Jamás he sido muy romántica... Pero necesito tus abrazos y besos de práctica,P
"@GomezXelhuantzi jajaja, chalé, te extraño tanto que voy a enloquecer ya ven a verme",N
@daphnella @goliveros @Tirodopolus las mejores tazitas en la vida yo tengo unos caballitos de tlaque,P
"@lajosa La tradicional #RoscaDeReyes de #BisquetsObregón tiene un gran sabor, visita tu unidad favorita. ¡Te esperamos!",P
"-Mi amor, ¿me veo gorda con este vestido? -A ver, rueda un poquito a la izquierda. -",P
"Primero quiero formar un equipo inicial: Lurantis, Primarina, Mimikyu, Salamence, Krookodile, Sylveon. Que mal que no está Mawile",N
@KoenmaJr20 probando nuevos Morning show! @ExaFM me aburre ya! Se ha vuelto demasiado tonto el programa! Extraño a @Cecidelacueva,N
¿Alguien tiene algún pdf donde se describan las etapas del desarrollo humano? Sobre todo la de la senectud. POR FAAAA.,NEU
Buenos días Pues vamos a empezar a darle a esto!!! Ahora va la mía Y q venga todo con mucha candela!,P
@telediariomty @multimediostv kiero ke me regalen una rosca xfa para kompartir en familia No tengo cel para llamar y pedirla xeso escrib,NEU
"Dios me ha sorprendido en esta semana,una caja de cafe,cosas de la tesis,vienen cosas mejores ya sige lo de mi maestría,y una ELLA,jajaja",P
"Ya sé, tengo que leer a Mishima pero se me atravesó el estúpido y sensual Joyce con Dublineses y tenía que estrenar mis marcadores.",P
"Para los que el día de mañana regresan a clases, que en este nuevo semestre cumplan todos sus objetivos y les sea muy exitoso! #ADarle",P
"Días!! El secreto de la buena salud es vivir el ahora. No eres dueño del pasado, no sueñes con el futuro. Solo el presente te pertenece..",P
"A como veo las cosas, no me va gustar el resultado final de este partido.. No hay manera Si un equipo juega a Ganar y el otro....",N
"Nota a mi mismo: no iniciar una cancion con frases como ""recuerdo el dia en que te conoci"" o "" caminando por las calles de mi barrio """,NEU
Yo - oye no aventamos 3 palitos al hilo Ella - ya se. Oye años de na mas 1; eres un tigre... A mi distinción erectil le gusta esto...,NEU
@GuadaVeryGudSup Un feto muy bonito,P
No quiero ir a la escuelaaaaaa,N
@AbieeFlores comprame unos Voy a morir congelada,N
@adriantr09 @ClubTiburones @PumasMX Ya rugiste León Ya estufas,NEU
Lo único que hay para comer es un tomate,N
Buen dia @EdWestwick que sea un día maravilloso para ti,P
"@SirRhosisRGL eso sí, hay raza que de verdad está súper jodida",N
Antes de un me gustas viene una tierna mirada con una sonrisa,P
"Me da culo caminar de noche por anahuac city, ni pedo, gym time",N
"@hijodeletras @megustaleermex Mil gracias por el libro, desde cuando le tenía puesto el ojo",P
yo sólo necesito a un amigo que hable chido inglés para poder practicar con el,NEU
"Al esperar ese mensaje Se decide cual será mi siguiente paso en el destino!,, que nervios",NEU
La sonrisa es el único virus que no hace daño al alma. Siempre sonríe;;Calavera de la Suerte&gt;&gt;,P
@CARLOSEES Yo le dije que quería un beso suyo y me rechazó. No te sientas tan triste jajaja,N
"Perdí todos mis contactos del cel Si me tienes guardada, mándame un whatsapp con tu nombre para guardarte, please",N
Sabes que ya estás viejo cuando tus primos quieren ver pelis toda la noche y tu solo quieres dormir ya,N
"@yestermansux Oye vi una hiper padre en Morelia, no así pero muuuy chida. Costaba como $200. Si la quieres, me avisas.",P
Acabo de etiquetar a mi tía en una cosa. Soy más allá de mi propia tía. Soy la tía de las tías.,P
@RULSOTO @Siempre889 mi caja registradora de barbie la disfrute al maximo ! y el que nunca llego fue el beatle rosa de barbie,NEU
"Queridos reyes quiero: 1. Voluntad para dejar de tragar... Y ya con eso toda mi vida se resuelve, ah sí bueno y un dragón",N
"@Ale_Jaramillo A los años por aquí hermosa, ya ni te has de acordar de tu fiel seguidor Un abrazo inmenso en este nuevo año. Bendiciones.",P
"Un amigo de mi hermano que me gustó toda la primaria y secundaria (casi) me dijo ""Te quiero fea"" y bueno chtm, no es cuando quieras",N
"Hoy pasé frente a una tienda y noté que ya no le quedaba casi nada de pan Tía Rosa, solo mantecadas de chocolate. Son tan poco valoradas.",N
"@YouTube lo que voy a hacer el lunes no es por ti, es por nosotros te amo y te quiero mucho  eres la única real para mi",P
"Fui a @Cinemex x lo cerca que esta de mi casa solo p ver q no tienen ""La Llegada""  #fail ya estoy en @Cinepolis , no hay como en casa!",N
Las vacaciones me mal acostumbraron,N
En segundo dia de Servicio #FelizMartes,P
La verdad extraño mucho mi vida universitaria,N
Ya cayó la segunda parte del pavo cachetón,NEU
Vengan a alimentarme una semana... Seré un inútil abandonado,N
Ya mejor me.resigno Nadie nunca jamás me va a querer.,N
Lo único malo del frío es que los Winis están duros,N
@ChulasDeJA @julionalvarez @EEnrique_F @NoticiasJulion hermosa nosotros somos una estacion de musica tropical,NEU
"Samantha dice de broma que nací castigada,pero a mi me parece muy real",N
"Qué bonito que ""In to my Arms"" sea la segunda canción escuchada este día.",P
Como cuando la persona siempre está cansada para todo menos para salir con alguien más.,N
"@__walter__ @norisolis haha. A mi también se me rompió el pantalón, pero de adelante, super incomodo",N
La ansiedad que me da cuando no puedo dormir es de las peores cosas que he eerimentado,N
Cuando me pongo a dieta mas se me antojan las cosas delis ni modo a seguir comiendo melón,N
"#EnEneroYo estaré más al pendiente de mi familia, mis fans y estaré al pendiente de sus mensajes pequeños amores",P
Alguien quiere hablar conmigo por ft de audio ?? estoy en la escuela ya acabe todo y estoy muuuuuy aburrida,N
"@_fer_alonso Sí, el depósito del envío internacional es después ya que se necesita dividir entre todas las que pidieron el proyecto",NEU
Lo bueno de ser un sin amigos es que puedo llegar a la hora que quiera a los lugares que quiero visitar.,NEU
"@raticorns Genial!, pero yo decia del pais que mas te ve El aceite de coco creo q no es tan facil de conseguir",NEU
"@AscNati si si ya estuve haha desde el jueves en la mañana,ahorita ya voy saliendo de la central nueva,a mi también me llenó rápido",P
Tal vez estoy pagando algún tipo de karma por no hacerle caso al carnicero de por mi trabajo… siempre me dice que me veo bonita,NEU
"Yo no le deseo el mal a nadie, pero a veces se agradece, que todo caiga por su propio peso.....:.. Muy buenos días tengan todosssss usted",NEU
"-Y te pidió perdón o algo? -No -no te habló? -No mamy -Y tú a él? -Menos, ahora lo odio -Muy bien, ni se te ocurra hablarle",N
"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",N
"Qué feo ha de ser que tu novi@ se vaya de viajey tu estes de que: me muero por que regreses, ya no puedo vivir asi y esas cosas, apoyalo",N
@Cochy_Tj llena de bendiciones jaja,P
"Extraño los tacos de ""El vaquero""",N
@KozkaTripp Cuando vengas a vernos lo compruebas,NEU
@faustoponce @ivoox Ok. Gracias. Ten un buen día.,P
Empezando el día con una de mis canciones favoritas,P
Hace rato debí de haberme levantado para ir al gym,N
@clauu_ruiz14 jajajaja te contestaste tú sola hahaha pero sí tienes razón,P
Mi horario esta de la fregada voy a vivir en la facu,N
Que horrible es querer dormir y que tu perrita no deje de roncar,N
@szerenata Lo haría pero mi música es muy fea para tu programa tan bonito,NEU
Si te encontrará tras cien años encontraré tus ojos negros entre millones de ojos negros,P
Cada que tengo tiempo libre me pongo a ver vídeos de animales. Los quiero todos ayura.,P
Y el lo sabe por que se lo dije....y tambien tenia puesto una camisa manga larga gris,NEU
"No existen palabras para esta triste noticia. D.E.P Jose Ruben Molina, te extrañare mucho campeón, tenlo por seguro.",N
Mi mamá cumple años hoy. Y este es uno de los días más felices para mí La amo mucho.,P
@MrBeat @SuaraMusic @Brunch_BCN Ni que lo digas. Fue muy triste no poder estar pero mis compañeros lo hicieron de maravilla,N
"@EduardoRamos95R descansa gordis, mañana nos vemos no tardes por favor si? Sueña bonito, te amo muchísimo un besito en la frente",P
"@elavelden Acá en Ecuador aún falta para el final de la telenovela, no me pierdo ningún capítulo. Un abrazo y excelente semana",P
Mi lechuza tan retrasada por la distancia y ahora con el muro se va a estrellar con todo y mi carta a Hogwarts,N
"Mañana va a haber muchos niñitos con una primer patineta. Si ven a uno, apoyen y ayudenlo. Estará frente a ustedes un nuevo skateboard.",P
"@OyeeDanny Ya sé, ¿Quién los entiende? Verdad ? El sabe lo que hace, y vaya que lo ha hecho más que bien. Es grande @peladoalmeyda",P
"Lo bueno, Después de dos meses por fin un domingo libre a disfrutar. Lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer",NEU
- Yo Mamá por qué nunca en dejaste disfrutar mi juventud? Ya tengo 30 - Mamá Felipe llegabas borracho a los 17 años - Yo Ayñ mamá!!,N
"Todas las putas gatas a las que les cago es porque un wey se fijo en mi y no en ellas, neta no es mi pedo, pinches feas",N
Te quise como se debe y no fue breve aun no te puedo olvidar que mas da si ya no vas a estar pa cantar y fumar como siempre...,N
@Diegoork ya urge nuestra pijamada,NEU
@soyalannavarro Buenas noches Risitas ...Sueña Bonito...!,P
Aquí todo tranquilo y allá quien sabe,NEU
@drlejtik @TauroAgencia @LaPlazaMexico jaja insisto se pondra buenisimo,P
